"Name","Instance Count","Size (bytes)"
"java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator",100,2400
"java.lang.reflect.TypeVariable[ ]",100,2328
"java.net.URLClassLoader$1",100,2400
"java.util.ImmutableCollections$Set12$1",100,2400
"java.util.RegularEnumSet",100,3200
"jdk.internal.loader.URLClassPath$Loader$1",100,3200
"jdk.internal.org.objectweb.asm.Type[ ]",100,2504
"org.springframework.boot.loader.jar.NestedJarFile$JarEntryInflaterInputStream",100,5600
"org.springframework.boot.loader.jar.NestedJarFile$JarEntryInputStream",100,4800
"org.springframework.boot.loader.jar.NestedJarFileResources$$Lambda.0x0000000800155108",100,2400
"org.springframework.boot.loader.net.protocol.jar.JarUrlConnection$ConnectionInputStream",100,2400
"org.springframework.boot.loader.net.protocol.nested.NestedUrlConnection",100,7200
"org.springframework.core.annotation.AnnotationTypeMappings",100,2400
"org.springframework.expression.common.LiteralExpression",100,1600
"java.io.ObjectOutputStream$BlockDataOutputStream",99,3960
"java.io.ObjectOutputStream$ReplaceTable",99,2376
"sun.rmi.transport.StreamRemoteCall",99,3960
"sun.rmi.transport.Transport$1",99,3168
"sun.rmi.server.MarshalOutputStream$1",98,1568
"javax.management.MBeanAttributeInfo[ ]",97,4712
"org.springframework.core.annotation.TypeMappedAnnotations",97,4656
"org.springframework.context.annotation.ConfigurationClass",96,4608
"java.net.Inet6Address",95,2280
"java.net.Inet6Address$Inet6AddressHolder",95,3040
"java.security.SecureClassLoader$1",94,1504
"com.sun.management.internal.DiagnosticCommandArgumentInfo",93,3720
"org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition",93,11160
"java.util.logging.Logger$ConfigurationData",92,3680
"org.springframework.boot.loader.net.protocol.nested.NestedLocation$$Lambda.0x00000008000cb1c8",92,1472
"java.util.logging.Logger",91,5096
"org.springframework.cglib.core.Signature",91,2184
"java.net.NetworkInterface[ ]",90,1800
"sun.reflect.generics.tree.MethodTypeSignature",90,2880
"sun.reflect.generics.tree.TypeSignature[ ]",90,2080
"org.springframework.core.convert.TypeDescriptor",89,2136
"java.lang.invoke.SimpleMethodHandle",88,2816
"org.springframework.util.ConcurrentReferenceHashMap$1",88,2816
"java.util.LinkedHashMap$LinkedEntryIterator",86,2752
"java.util.concurrent.atomic.AtomicLong",85,2040
"java.util.regex.Pattern$BmpCharProperty",84,2016
"sun.reflect.generics.repository.MethodRepository",84,3360
"sun.reflect.generics.scope.MethodScope",84,2016
"java.lang.WeakPairMap$Pair$Lookup",83,1992
"java.util.stream.ReferencePipeline$Head",82,4592
"java.net.InterfaceAddress[ ]",81,2016
"java.net.NetworkInterface",81,3888
"java.net.NetworkInterface$1",81,1944
"java.io.ObjectInputStream$FilterValues",80,3840
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation",80,1920
"com.jprofiler.agent.util.a.b.aa",79,5688
"java.lang.invoke.DirectMethodHandle$Accessor",78,3744
"java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle",78,3744
"org.springframework.context.event.GenericApplicationListenerAdapter",78,1872
"org.springframework.boot.autoconfigure.condition.OnBeanCondition",77,1848
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference",76,2432
"jdk.jfr.internal.jfc.model.XmlTest",76,3040
"sun.rmi.transport.ConnectionInputStream",75,5400
"sun.rmi.transport.ConnectionOutputStream",75,4800
"java.lang.RuntimePermission",72,1728
"java.lang.annotation.Annotation[ ][ ]",72,1584
"javax.management.remote.rmi.RMIConnectionImpl$SetCcl",72,1152
"javax.management.MBeanOperationInfo[ ]",71,2584
"jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl",70,2240
"org.springframework.core.type.StandardAnnotationMetadata",70,2240
"jdk.proxy1.$Proxy8",69,1104
"sun.reflect.annotation.AnnotationType",69,2208
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig",68,1632
"java.lang.invoke.LambdaForm$Kind",68,2176
"java.util.ResourceBundle$KeyElementReference",68,2176
"javax.management.MBeanAttributeInfo",68,2176
"jdk.internal.reflect.ByteVectorImpl",68,1632
"jdk.internal.reflect.ClassFileAssembler",68,2176
"jdk.proxy2.$Proxy29",68,1088
"org.springframework.boot.autoconfigure.condition.OnClassCondition",68,1632
"java.lang.reflect.Executable$ParameterData",67,1608
"java.lang.reflect.Parameter[ ]",67,1728
"java.lang.annotation.ElementType[ ]",66,1760
"java.lang.invoke.Invokers",66,1584
"org.apache.juli.logging.DirectJDKLog",66,1056
"jdk.proxy1.$Proxy0",65,1040
"jdk.proxy1.$Proxy3",64,1024
"jdk.internal.logger.DefaultLoggerFinder$1",63,1008
"org.springframework.asm.Type",63,2016
"org.springframework.format.support.FormattingConversionService$AnnotationParserConverter",63,2016
"org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter",63,2016
"java.lang.module.ResolvedModule",62,1488
"javax.management.MBeanParameterInfo",62,1984
"jdk.internal.module.SystemModuleFinders$SystemModuleReader",62,1488
"jdk.internal.loader.BuiltinClassLoader$LoadedModule",61,1952
"javax.management.MBeanInfo",60,2880
"jdk.jfr.internal.jfc.model.XmlOption",60,2400
"jdk.proxy1.$Proxy4",60,960
"java.io.FilePermission",58,2320
"java.lang.invoke.BoundMethodHandle$Species_LLLL",58,2784
"com.jprofiler.agent.probe.structures.n[ ]",57,1368
"sun.reflect.generics.tree.FormalTypeParameter",57,1368
"java.util.TreeSet",56,896
"javax.management.openmbean.OpenType[ ]",56,1584
"org.springframework.core.annotation.AttributeMethods",56,1792
"java.lang.WeakPairMap$Pair$Weak",55,2200
"java.lang.WeakPairMap$Pair$Weak$1",55,1760
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl",55,1760
"java.security.spec.ECPoint",54,1296
"jdk.jfr.internal.jfc.model.XmlCondition",54,2160
"sun.reflect.generics.visitor.Reifier",54,1296
"java.lang.invoke.InvokerBytecodeGenerator$ClassData",53,1272
"java.security.spec.EllipticCurve",53,1696
"sun.security.util.NamedCurve",53,2120
"sun.security.util.ObjectIdentifier",53,1696
"java.io.FilePermissionCollection",52,1248
"java.security.Permission[ ]",52,1248
"org.springframework.util.ConcurrentReferenceHashMap$TaskOption[ ]",52,1264
